Date,Location,P1,P2,OT Character,RCS Character,Team,P3 Color,P3 Character,P4 Color,P4 Character,Match,Result,Wanted Form,Form,Stage,Common Notes,,,,,,,,Other Notes
2018-12-09,Ann Arbor,OT,RCS,,Kirby,1,,Wario,Alola,Pokemon Trainer,1,4,Battlefield,Battlefield,Green Greens,,,,,,,,,
,,,,,Kirby,2,,King K. Rool,Skull,Pichu,2,4,Battlefield,Battlefield,Smashville,,,,,,,,,
,,,,,Kirby,3,Red,Young Link,,Mario,3,RCS 1,Battlefield,Battlefield,Duck Hunt,FFA,,,,,,,,
,,,,,Kirby,4,Isaac Wig,Mii Swordfighter,Gray,Dark Samus,4,-1,Battlefield,Battlefield,Fountain of Dreams,,,,,,,,,
,,,,,Kirby,,,,,,5,4,Battlefield,Battlefield,Yoshi's Island B,,,,,,,,,
,,,,,Kirby,,,,,,6,6,Battlefield,Battlefield,Gerudo Valley,,,,,,,,,
,,,,,Ice Climbers,5,Cyan,Villager,Black,Donkey Kong,7,1,Battlefield,Battlefield,Brinstar,,,,,,,,,
,,,,,Ice Climbers,,,,,,8,4,Battlefield,Battlefield,Princess Peach's Castle,,,,,,,,,
,,,,,Ice Climbers,6,Red,Marth,,Pit,9,5,Battlefield,Battlefield,Wii Fit Studio,,,,,,,,,
,,,,,Ice Climbers,7,,Roy,,Luigi,10,3,Battlefield,Battlefield,Green Hill Zone,,,,,,,,,
,,,,,Ice Climbers,,,,,,11,4,Battlefield,Battlefield,Paper Mario,,,,,,,,,
,,,,,Pikachu,8,,Peach,Pink,Villager,12,4,Battlefield,No Hazards,Port Town Aero Dive,,,,,,,,,
,,,,,Pikachu,,,,,,13,4,Battlefield,Battlefield,Wily Castle,,,,,,,,,
,,,,,Pikachu,9,,Corrin,,Cloud,14,6,Battlefield,Battlefield,Tomodachi Life,,,,,,,,,
,,,,,Pikachu,10,,Villager,Purple,Isabelle,15,3,Battlefield,Battlefield,Skyloft,,,,,,,,,
,,,,,Pikachu,,,,,,16,3,Battlefield,Battlefield,Wrecking Crew,,,,,,,,,
,,,,,Pikachu,11,,King K. Rool,Ab,Shulk,17,6,Battlefield,Battlefield,Mushroom Kingdom 2,,,,,,,,,
,,,,,Pikachu,12,,Marth,,King K. Rool,18,3,Battlefield,Battlefield,Kongo Jungle 64,,,,,,,,,
,,,,,Pikachu,13,,Inkling,,Kirby,19,4,Battlefield,Battlefield,Town and City,,,,,,,,,
,,,,,Pikachu,14,,Roy,,King K. Rool,20,5,Battlefield,Battlefield,Summit,,,,,,,,,
